Company,Category,Company Stage,Pricing Model,Usage-flavored,Number of Tiers,Has Free Tier,Has Free Trial,Entry Price (USD/mo),Entry Price Basis,Top Visible Price (USD/mo),Has Contact-Sales Tier,Annual Discount (%),Price Transparent,Mentions AI,AI Monetization,Charges Extra for AI,AI Add-on Price (USD/mo),Mentions SSO,SSO Location,SSO Tax,Confidence,Source Method
Salesflare,CRM & Sales,Bootstrapped,Per-seat,FALSE,3,FALSE,TRUE,29.0,Per seat,99.0,FALSE,25.6,TRUE,FALSE,None,FALSE,,FALSE,Not mentioned,FALSE,high,webfetch
Salesforce,CRM & Sales,Public,Per-seat,FALSE,6,TRUE,TRUE,25.0,Per seat,550.0,TRUE,,TRUE,TRUE,Paid add-on,TRUE,125.0,FALSE,Not mentioned,FALSE,high,apify
Salesloft,CRM & Sales,Late-stage Private,Contact-only,FALSE,,FALSE,FALSE,,,,TRUE,,FALSE,TRUE,Unknown,FALSE,,FALSE,Not mentioned,FALSE,high,webfetch
Zoho CRM,CRM & Sales,Bootstrapped,Per-seat,FALSE,4,TRUE,TRUE,,Per seat,,TRUE,,TRUE,TRUE,Higher tier,TRUE,,FALSE,Not mentioned,FALSE,medium,webfetch
Amplitude,Data & Analytics,Public,Usage-based,TRUE,4,TRUE,FALSE,,Usage,,TRUE,,FALSE,TRUE,Bundled,FALSE,,TRUE,Mid tier,FALSE,high,webfetch
Census,Data & Analytics,Early,Usage-based,TRUE,4,TRUE,TRUE,,Usage,,TRUE,22.0,TRUE,FALSE,None,FALSE,,TRUE,Enterprise only,TRUE,high,webfetch
Databricks,Data & Analytics,Late-stage Private,Usage-based,TRUE,,FALSE,TRUE,,Usage,,TRUE,,FALSE,TRUE,Usage credits,TRUE,,FALSE,Not mentioned,FALSE,high,webfetch
Datadog,Data & Analytics,Public,Hybrid,TRUE,5,TRUE,TRUE,15.0,Per seat,500.0,TRUE,,TRUE,TRUE,Usage credits,TRUE,62.5,TRUE,Mid tier,FALSE,high,webfetch
dbt Labs,Data & Analytics,Growth,Hybrid,TRUE,4,TRUE,TRUE,100.0,Per seat,100.0,TRUE,,TRUE,TRUE,Bundled,FALSE,,FALSE,Not mentioned,FALSE,high,webfetch
Fivetran,Data & Analytics,Growth,Usage-based,TRUE,4,TRUE,TRUE,,Usage,,TRUE,22.0,TRUE,FALSE,None,FALSE,,TRUE,Enterprise only,TRUE,high,webfetch
Grafana,Data & Analytics,Growth,Hybrid,TRUE,3,TRUE,FALSE,19.0,Flat,55.0,TRUE,,TRUE,TRUE,Usage credits,TRUE,20.0,FALSE,Not mentioned,FALSE,high,webfetch
Hex,Data & Analytics,Growth,Per-seat,FALSE,4,TRUE,TRUE,36.0,Per seat,75.0,TRUE,,TRUE,TRUE,Bundled,FALSE,,TRUE,Enterprise only,TRUE,high,webfetch
Hightouch,Data & Analytics,Growth,Usage-based,TRUE,3,TRUE,FALSE,,Usage,,TRUE,,FALSE,TRUE,Bundled,FALSE,,TRUE,Enterprise only,TRUE,medium,webfetch
Metabase,Data & Analytics,Growth,Hybrid,TRUE,4,TRUE,TRUE,90.0,Per seat,517.5,TRUE,10.0,TRUE,TRUE,Usage credits,TRUE,3.75,TRUE,Mid tier,FALSE,high,webfetch
Mixpanel,Data & Analytics,Growth,Usage-based,TRUE,3,TRUE,FALSE,,Usage,,TRUE,,FALSE,TRUE,Bundled,FALSE,,TRUE,Enterprise only,TRUE,high,webfetch
New Relic,Data & Analytics,Public,Hybrid,TRUE,4,TRUE,FALSE,10.0,Per seat,418.8,TRUE,,TRUE,TRUE,Bundled,FALSE,,TRUE,Mid tier,FALSE,high,webfetch
Power BI,Data & Analytics,Public,Hybrid,TRUE,4,TRUE,TRUE,14.0,Per seat,24.0,TRUE,,TRUE,TRUE,Higher tier,TRUE,,TRUE,All tiers,FALSE,high,manual
Segment,Data & Analytics,Public,Contact-only,FALSE,2,FALSE,TRUE,,,,TRUE,,FALSE,TRUE,Bundled,FALSE,,TRUE,Top paid tier,TRUE,high,webfetch
Sigma,Data & Analytics,Growth,Contact-only,FALSE,,FALSE,TRUE,,,,TRUE,,FALSE,TRUE,Unknown,FALSE,,FALSE,Not mentioned,FALSE,high,webfetch
Snowflake,Data & Analytics,Public,Usage-based,TRUE,4,FALSE,TRUE,,Usage,,TRUE,,FALSE,TRUE,Bundled,FALSE,,FALSE,Not mentioned,FALSE,high,webfetch
Tableau,Data & Analytics,Public,Per-seat,FALSE,4,TRUE,FALSE,15.0,Per seat,40.0,TRUE,,TRUE,TRUE,Bundled,FALSE,,FALSE,Not mentioned,FALSE,high,apify
ThoughtSpot,Data & Analytics,Late-stage Private,Hybrid,TRUE,4,FALSE,TRUE,25.0,Per seat,50.0,TRUE,,TRUE,TRUE,Bundled,FALSE,,TRUE,Enterprise only,TRUE,high,webfetch
Adobe Creative Cloud,Design & Creative,Public,Per-seat,FALSE,6,FALSE,TRUE,9.99,Per seat,89.99,TRUE,20.0,TRUE,TRUE,Bundled,FALSE,,TRUE,Enterprise only,TRUE,medium,manual
Balsamiq,Design & Creative,Bootstrapped,Per-seat,FALSE,3,FALSE,TRUE,16.0,Per seat,35.0,FALSE,30.0,TRUE,TRUE,Bundled,FALSE,,TRUE,Enterprise only,TRUE,medium,webfetch
Beautiful.ai,Design & Creative,Growth,Per-seat,FALSE,4,FALSE,TRUE,12.0,Flat,45.0,TRUE,20.0,TRUE,TRUE,Bundled,FALSE,,TRUE,Enterprise only,TRUE,high,webfetch
Canva,Design & Creative,Late-stage Private,Per-seat,FALSE,4,TRUE,TRUE,15.0,Per seat,25.0,TRUE,33.0,TRUE,TRUE,Bundled,FALSE,,TRUE,Enterprise only,TRUE,medium,manual
Descript,Design & Creative,Growth,Hybrid,TRUE,5,TRUE,FALSE,16.0,Per seat,65.0,TRUE,35.0,TRUE,TRUE,Usage credits,TRUE,,TRUE,Enterprise only,TRUE,high,webfetch
Figma,Design & Creative,Public,Hybrid,TRUE,4,TRUE,FALSE,12.0,Per seat,90.0,TRUE,,TRUE,TRUE,Bundled,FALSE,,TRUE,Enterprise only,TRUE,high,webfetch
Framer,Design & Creative,Growth,Hybrid,TRUE,4,TRUE,FALSE,10.0,Flat,30.0,TRUE,,TRUE,TRUE,Usage credits,TRUE,,TRUE,Enterprise only,TRUE,high,webfetch
Lucidchart,Design & Creative,Public,Per-seat,FALSE,4,TRUE,TRUE,9.0,Per seat,10.0,TRUE,18.0,TRUE,TRUE,Bundled,FALSE,,TRUE,Enterprise only,TRUE,high,manual
Marq,Design & Creative,Growth,Per-seat,FALSE,4,TRUE,TRUE,10.0,Per seat,10.0,TRUE,17.0,TRUE,TRUE,Bundled,FALSE,,TRUE,Enterprise only,TRUE,high,webfetch
Piktochart,Design & Creative,Bootstrapped,Per-seat,FALSE,4,TRUE,FALSE,10.0,Per seat,20.0,TRUE,33.0,TRUE,TRUE,Bundled,FALSE,,TRUE,Enterprise only,TRUE,high,apify
Pitch,Design & Creative,Growth,Per-seat,FALSE,5,TRUE,FALSE,10.0,Per seat,20.0,TRUE,17.0,TRUE,TRUE,Bundled,FALSE,,TRUE,Enterprise only,TRUE,medium,webfetch
Sketch,Design & Creative,Bootstrapped,Per-seat,FALSE,5,FALSE,TRUE,12.0,Per seat,44.0,TRUE,,TRUE,TRUE,Bundled,FALSE,,TRUE,Mid tier,FALSE,high,webfetch
Squarespace,Design & Creative,Public,Flat-rate,FALSE,4,FALSE,TRUE,12.0,Flat,33.0,TRUE,36.0,TRUE,TRUE,Usage credits,TRUE,,TRUE,Enterprise only,TRUE,high,webfetch
Vimeo,Design & Creative,Public,Per-seat,FALSE,5,TRUE,TRUE,12.0,Per seat,75.0,TRUE,40.0,TRUE,TRUE,Higher tier,TRUE,,TRUE,Enterprise only,TRUE,high,manual
Visme,Design & Creative,Bootstrapped,Per-seat,FALSE,4,TRUE,FALSE,12.25,Per seat,24.75,TRUE,50.0,TRUE,TRUE,Usage credits,TRUE,,TRUE,Enterprise only,TRUE,high,webfetch
Wistia,Design & Creative,Bootstrapped,Flat-rate,FALSE,4,TRUE,TRUE,79.0,Flat,329.0,TRUE,20.0,TRUE,TRUE,Bundled,FALSE,,TRUE,Enterprise only,TRUE,high,webfetch
Wix,Design & Creative,Public,Flat-rate,FALSE,5,TRUE,FALSE,13.0,Flat,599.0,TRUE,,TRUE,FALSE,None,FALSE,,FALSE,Not mentioned,FALSE,medium,webfetch
Zeplin,Design & Creative,Growth,Hybrid,TRUE,4,TRUE,FALSE,13.75,Flat,12.0,TRUE,8.33,TRUE,TRUE,Bundled,FALSE,,TRUE,Enterprise only,TRUE,high,webfetch
Algolia,Developer Tools,Growth,Usage-based,TRUE,4,TRUE,FALSE,0.5,Usage,1.75,TRUE,,TRUE,TRUE,Higher tier,TRUE,,TRUE,Top paid tier,TRUE,high,webfetch
CircleCI,Developer Tools,Growth,Hybrid,TRUE,3,TRUE,FALSE,15.0,Usage,,TRUE,,TRUE,FALSE,None,FALSE,,TRUE,Top paid tier,TRUE,high,webfetch
Docker,Developer Tools,Growth,Per-seat,FALSE,4,TRUE,TRUE,9.0,Per seat,24.0,TRUE,18.18,TRUE,TRUE,Bundled,FALSE,,TRUE,Top paid tier,TRUE,high,webfetch
Fastly,Developer Tools,Public,Usage-based,TRUE,5,TRUE,FALSE,500.0,Flat,6000.0,TRUE,,TRUE,TRUE,Usage credits,TRUE,,FALSE,Not mentioned,FALSE,high,webfetch
GitHub,Developer Tools,Public,Per-seat,FALSE,3,TRUE,TRUE,4.0,Per seat,21.0,TRUE,,TRUE,TRUE,Paid add-on,TRUE,,TRUE,Enterprise only,TRUE,high,webfetch
GitLab,Developer Tools,Public,Per-seat,FALSE,3,TRUE,TRUE,29.0,Per seat,29.0,TRUE,,TRUE,TRUE,Usage credits,TRUE,,FALSE,Not mentioned,FALSE,high,apify
Linear,Developer Tools,Growth,Per-seat,FALSE,4,TRUE,FALSE,10.0,Per seat,16.0,TRUE,,TRUE,TRUE,Usage credits,TRUE,,TRUE,Top paid tier,TRUE,high,webfetch
MongoDB,Developer Tools,Public,Usage-based,TRUE,3,TRUE,FALSE,8.0,Usage,33.26,TRUE,,TRUE,TRUE,Bundled,FALSE,,FALSE,Not mentioned,FALSE,high,webfetch
Netlify,Developer Tools,Growth,Hybrid,TRUE,4,TRUE,FALSE,9.0,Flat,20.0,TRUE,,TRUE,TRUE,Usage credits,TRUE,,TRUE,Enterprise only,TRUE,high,webfetch
PlanetScale,Developer Tools,Growth,Flat-rate,FALSE,10,FALSE,FALSE,5.0,Flat,47229.0,FALSE,,TRUE,FALSE,None,FALSE,,FALSE,Not mentioned,FALSE,high,webfetch
Postman,Developer Tools,Late-stage Private,Hybrid,TRUE,4,TRUE,FALSE,9.0,Flat,49.0,TRUE,25.0,TRUE,TRUE,Usage credits,TRUE,,TRUE,Enterprise only,TRUE,high,webfetch
Render,Developer Tools,Growth,Hybrid,TRUE,4,TRUE,FALSE,25.0,Flat,499.0,TRUE,,TRUE,FALSE,None,FALSE,,TRUE,Top paid tier,TRUE,high,apify
Replit,Developer Tools,Growth,Hybrid,TRUE,4,TRUE,FALSE,20.0,Flat,95.0,TRUE,20.0,TRUE,TRUE,Bundled,FALSE,,TRUE,Enterprise only,TRUE,high,webfetch
Retool,Developer Tools,Late-stage Private,Hybrid,TRUE,4,TRUE,FALSE,10.0,Per seat,50.0,TRUE,20.0,TRUE,TRUE,Usage credits,TRUE,,TRUE,Enterprise only,TRUE,high,webfetch
Sentry,Developer Tools,Growth,Hybrid,TRUE,4,TRUE,TRUE,26.0,Flat,80.0,TRUE,,TRUE,TRUE,Paid add-on,TRUE,,TRUE,Top paid tier,TRUE,high,webfetch
Supabase,Developer Tools,Growth,Hybrid,TRUE,4,TRUE,FALSE,25.0,Flat,3730.0,TRUE,,TRUE,FALSE,None,FALSE,,TRUE,Mid tier,FALSE,high,webfetch
Twilio,Developer Tools,Public,Usage-based,TRUE,29,TRUE,TRUE,0.0001,Usage,150.0,TRUE,,TRUE,TRUE,Usage credits,TRUE,0.002,FALSE,Not mentioned,FALSE,high,webfetch
Vercel,Developer Tools,Late-stage Private,Hybrid,TRUE,3,TRUE,FALSE,20.0,Flat,20.0,TRUE,,TRUE,TRUE,Paid add-on,TRUE,0.25,TRUE,Top paid tier,TRUE,high,webfetch
Bill.com,Fintech & Ops,Public,Per-seat,FALSE,4,TRUE,TRUE,49.0,Per seat,89.0,TRUE,,TRUE,TRUE,Bundled,FALSE,,TRUE,Enterprise only,TRUE,high,webfetch
Brex,Fintech & Ops,Late-stage Private,Per-seat,FALSE,4,TRUE,FALSE,12.0,Per seat,12.0,TRUE,,TRUE,TRUE,Bundled,FALSE,,TRUE,Mid tier,FALSE,high,webfetch
Chargebee,Fintech & Ops,Growth,Hybrid,TRUE,2,FALSE,TRUE,400.0,Usage,424.0,TRUE,,TRUE,TRUE,Bundled,FALSE,,TRUE,Enterprise only,TRUE,high,webfetch
Expensify,Fintech & Ops,Public,Per-seat,FALSE,3,TRUE,FALSE,5.0,Per seat,18.0,FALSE,,TRUE,TRUE,Bundled,FALSE,,TRUE,Top paid tier,TRUE,medium,manual
FreshBooks,Fintech & Ops,Private,Flat-rate,FALSE,4,FALSE,TRUE,23.0,Flat,70.0,TRUE,,TRUE,FALSE,None,FALSE,,FALSE,Not mentioned,FALSE,high,webfetch
Melio,Fintech & Ops,Growth,Hybrid,TRUE,5,TRUE,TRUE,25.0,Flat,80.0,TRUE,20.0,TRUE,TRUE,Bundled,FALSE,,FALSE,Not mentioned,FALSE,high,webfetch
Mercury,Fintech & Ops,Growth,Flat-rate,FALSE,3,TRUE,FALSE,29.9,Flat,299.0,TRUE,15.0,TRUE,TRUE,Bundled,FALSE,,FALSE,Not mentioned,FALSE,high,webfetch
Paddle,Fintech & Ops,Growth,Usage-based,TRUE,2,FALSE,FALSE,,Usage,,TRUE,,TRUE,FALSE,None,FALSE,,FALSE,Not mentioned,FALSE,high,webfetch
Pilot,Fintech & Ops,Growth,Flat-rate,FALSE,3,FALSE,TRUE,99.0,Flat,5250.0,TRUE,,TRUE,TRUE,Bundled,FALSE,,FALSE,Not mentioned,FALSE,high,webfetch
QuickBooks,Fintech & Ops,Public,Flat-rate,FALSE,5,TRUE,TRUE,38.0,Flat,340.0,TRUE,,TRUE,TRUE,Bundled,FALSE,,FALSE,Not mentioned,FALSE,high,apify
Ramp,Fintech & Ops,Late-stage Private,Per-seat,FALSE,3,TRUE,TRUE,15.0,Per seat,,TRUE,20.0,TRUE,TRUE,Bundled,FALSE,,TRUE,Mid tier,FALSE,high,webfetch
Recurly,Fintech & Ops,Growth,Hybrid,TRUE,3,FALSE,TRUE,249.0,Flat,1600.0,TRUE,,TRUE,TRUE,Bundled,FALSE,,TRUE,Top paid tier,TRUE,high,webfetch
Rho,Fintech & Ops,Growth,Contact-only,FALSE,,FALSE,FALSE,,,,TRUE,,FALSE,FALSE,None,FALSE,,FALSE,Not mentioned,FALSE,high,webfetch
Stripe,Fintech & Ops,Late-stage Private,Usage-based,TRUE,2,FALSE,FALSE,,Usage,620.0,TRUE,,TRUE,TRUE,Bundled,FALSE,,FALSE,Not mentioned,FALSE,high,webfetch
Wave,Fintech & Ops,Private,Flat-rate,FALSE,3,TRUE,FALSE,19.0,Flat,199.0,FALSE,,TRUE,FALSE,None,FALSE,,FALSE,Not mentioned,FALSE,high,webfetch
Xero,Fintech & Ops,Public,Flat-rate,FALSE,3,FALSE,TRUE,25.0,Flat,90.0,FALSE,,TRUE,TRUE,Bundled,FALSE,,FALSE,Not mentioned,FALSE,high,apify
Zuora,Fintech & Ops,Public,Contact-only,FALSE,,FALSE,FALSE,,,,TRUE,,FALSE,TRUE,Unknown,FALSE,,FALSE,Not mentioned,FALSE,high,webfetch
15Five,HR & People,Growth,Per-seat,FALSE,3,FALSE,FALSE,4.0,Per seat,16.0,FALSE,,TRUE,TRUE,Bundled,FALSE,2.0,TRUE,All tiers,FALSE,high,webfetch
Ashby,HR & People,Growth,Hybrid,TRUE,4,FALSE,FALSE,400.0,Flat,,TRUE,10.0,TRUE,TRUE,Bundled,FALSE,,TRUE,Enterprise only,TRUE,high,webfetch
BambooHR,HR & People,Private,Per-seat,FALSE,3,FALSE,FALSE,10.0,Per seat,25.0,FALSE,,TRUE,TRUE,Higher tier,TRUE,,FALSE,Not mentioned,FALSE,high,webfetch
Culture Amp,HR & People,Late-stage Private,Contact-only,FALSE,3,FALSE,FALSE,,,,TRUE,,FALSE,TRUE,Bundled,FALSE,,TRUE,All tiers,FALSE,high,webfetch
Deel,HR & People,Late-stage Private,Per-seat,FALSE,3,FALSE,TRUE,14.0,Per seat,599.0,TRUE,,TRUE,TRUE,Bundled,FALSE,,FALSE,Not mentioned,FALSE,high,webfetch
Greenhouse,HR & People,Late-stage Private,Contact-only,FALSE,3,FALSE,FALSE,,,,TRUE,,FALSE,TRUE,Bundled,FALSE,,TRUE,All tiers,FALSE,high,webfetch
